Date	Hour	Tmax(C)	Tmin(C)	ET0	Rain(mm)
2021-06-12	02:00:03	10.28	9.5	0.0	0.0
2021-06-12	02:15:03	10.28	9.5	0.0	0.0
2021-06-12	02:30:03	10.28	9.5	0.0	0.0
2021-06-12	02:45:03	10.28	9.5	0.0	0.0
2021-06-12	03:00:03	10.28	9.5	0.0	0.0
2021-06-12	03:15:03	10.33	9.5	0.0	0.0
2021-06-12	03:30:03	10.44	9.5	0.0	0.0
2021-06-12	03:45:03	10.56	9.5	0.0	0.0
2021-06-12	04:00:03	10.56	9.5	0.0	0.0
2021-06-12	04:15:03	10.56	9.5	0.0	0.0
2021-06-12	04:30:03	10.61	9.5	0.0	0.0
2021-06-12	04:45:03	10.61	9.5	0.0	0.0
2021-06-12	05:00:03	10.61	9.5	0.0	0.0
2021-06-12	05:15:03	10.61	9.5	0.0	0.0
2021-06-12	05:30:03	10.61	9.5	0.0	0.0
2021-06-12	05:45:03	10.61	9.5	0.0	0.0
2021-06-12	06:00:03	10.72	9.5	0.0	0.0
2021-06-12	06:15:03	10.83	9.5	0.0	0.0
2021-06-12	06:30:03	10.89	9.5	0.0	0.0
2021-06-12	06:45:03	10.94	9.5	0.0	0.0
2021-06-12	07:00:03	10.94	9.5	0.0	0.0
2021-06-12	07:15:03	11.22	9.5	0.025	0.0
2021-06-12	07:30:03	11.22	9.5	0.025	0.0
2021-06-12	07:45:03	11.72	9.5	0.025	0.0
2021-06-12	08:00:03	12.83	9.5	0.025	0.0
2021-06-12	08:15:03	13.33	9.5	0.17800000000000002	0.0
2021-06-12	08:30:03	14.22	9.5	0.17800000000000002	0.0
2021-06-12	08:34:03	14.28	9.5	0.17800000000000002	0.0
2021-06-12	08:40:03	14.39	9.5	0.17800000000000002	0.0
2021-06-12	08:46:03	14.56	9.5	0.17800000000000002	0.0
2021-06-12	09:03:08	15.0	9.5	0.33	0.0
2021-06-12	09:15:03	15.39	9.5	0.33	0.0
2021-06-12	09:30:03	15.83	9.5	0.33	0.0
2021-06-12	09:45:13	16.11	9.5	0.33	0.0
2021-06-12	10:03:07	16.11	9.5	0.584	0.0
2021-06-12	10:15:04	17.11	9.5	0.584	0.0
